run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,kl_divergence,ks_test_mean,ks_test_median,ad_test_mean,ad_test_median,Wasserstein_median,Wasserstein_mean,frob_norm,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,4,100000,corr,2,MsplineN,relu,8,-16,0,None,-1,0.471074648572234,0.4687963769333592,0.2212304771581913,0.2206402393670571,0.0042320627426762,0.0042320627426762,0.0179681123405017,128-128-128,512,1000,524,2869.0482133738697
2,0,4,100000,corr,2,MsplineN,relu,8,-16,0,None,-1,0.4532726981283457,0.4560687143933831,0.2179511362875828,0.2178588383820803,0.0050691716019303,0.0050691716019303,0.0200460995945874,256-256-256,512,1000,447,2510.968583015725
3,0,4,100000,corr,2,MsplineN,relu,12,-16,0,None,-1,0.4591457578580453,0.4714518843093405,0.2189905562727869,0.212542288591692,0.0047539670436341,0.0047539670436341,0.019432586233863,128-128-128,512,1000,445,2422.353115012869
4,0,4,100000,corr,2,MsplineN,relu,12,-16,0,None,-1,0.4935250156664217,0.5008218031119747,0.2218889899089492,0.221974953444296,0.0031105202798369,0.0031105202798369,0.0174455384731502,256-256-256,512,1000,389,2148.5512333251536
5,0,8,100000,corr,2,MsplineN,relu,8,-16,0,None,-1,0.354180158657456,0.3686312541911565,0.1631368154952276,0.1641894169190842,0.0104589020517776,0.0104589020517776,0.058919673179029,128-128-128,512,1000,293,1623.571266392246
6,0,8,100000,corr,2,MsplineN,relu,8,-16,0,None,-1,0.3634468098368898,0.3724139823356244,0.1759919828475108,0.1666717422449506,0.016458108999949,0.016458108999949,0.0622749954221535,256-256-256,512,1000,185,1036.445798067376
7,0,8,100000,corr,2,MsplineN,relu,12,-16,0,None,-1,0.444097321651744,0.4852962778858746,0.2145503925128893,0.2021825343228242,0.0041686201685815,0.0041686201685815,0.0562999260835886,128-128-128,512,1000,314,1756.6784730367362
8,0,8,100000,corr,2,MsplineN,relu,12,-16,0,None,-1,0.444781694619163,0.4631908811138098,0.2108010000110126,0.1980860904997269,0.0064601737497274,0.0064601737497274,0.0604058545483552,256-256-256,512,1000,202,1120.411976294592
9,0,16,100000,corr,2,MsplineN,relu,8,-16,0,None,-1,0.4565854028349506,0.4862049567628849,0.2081306630020976,0.1956040298524021,0.0054773146667872,0.0054773146667872,0.1247194755648581,128-128-128,512,1000,256,1403.6430439893156
10,0,16,100000,corr,2,MsplineN,relu,8,-16,0,None,-1,0.2951449485277505,0.3319553394441538,0.164519518995923,0.1359894107497595,0.0158502452996494,0.0158502452996494,0.1219925673944386,256-256-256,512,1000,120,669.6038114093244
11,0,16,100000,corr,2,MsplineN,relu,12,-16,0,None,-1,0.4757498637691266,0.5036796246577554,0.2146291712754485,0.2003366341518089,0.0041403809576315,0.0041403809576315,0.1214939314385909,128-128-128,512,1000,259,1426.044525101781
12,0,16,100000,corr,2,MsplineN,relu,12,-16,0,None,-1,0.3988987227900646,0.4530593305245329,0.1924228908852735,0.1724244841091154,0.0060638520631755,0.0060638520631755,0.1312220247111213,256-256-256,512,1000,122,671.6906273774803
13,0,32,100000,corr,2,MsplineN,relu,8,-16,0,None,-1,0.4463399993079117,0.4812224639770186,0.2090147924055131,0.1944792496416106,0.0039726473948314,0.0039726473948314,0.2423938581850346,128-128-128,512,1000,262,1355.180571416393
