run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,kl_divergence,ks_test_mean,ks_test_median,ad_test_mean,ad_test_median,Wasserstein_median,Wasserstein_mean,frob_norm,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,4,100000,corr,5,RealNVPN,relu,8,-16,0,None,-1,0.493018639494271,0.4809525718711125,0.2224957857057135,0.217946157501782,0.0077781509549033,0.0077781509549033,0.0405045512422811,128-128-128,256,1000,324,1807.492812814191
2,0,4,100000,corr,5,RealNVPN,relu,8,-16,0,None,-1,0.5302443451386492,0.5204785520143622,0.2265166668907737,0.2262949652745861,0.0062024478581127,0.0062024478581127,0.0346991837036577,256-256-256,256,1000,478,2731.193398544565
3,0,4,100000,corr,10,RealNVPN,relu,8,-16,0,None,-1,0.4787321210361709,0.4899591062965276,0.2181991713450028,0.215192009774607,0.0041685942792232,0.0041685942792232,0.0456280087970259,128-128-128,256,1000,248,2620.448707345873
4,0,4,100000,corr,10,RealNVPN,relu,8,-16,0,None,-1,0.4856422531213731,0.4916674008455139,0.2178165674373662,0.2132956957936725,0.0059961200751963,0.0059961200751963,0.036951236989484,256-256-256,256,1000,322,3448.6041739732027
5,0,8,100000,corr,5,RealNVPN,relu,8,-16,0,None,-1,0.3798574992724141,0.3875914039384795,0.1768379750714112,0.1558909601636693,0.0063042048032891,0.0063042048032891,0.095133873417135,128-128-128,256,1000,448,2486.9965815730397
6,0,8,100000,corr,5,RealNVPN,relu,8,-16,0,None,-1,0.410322603047793,0.4363562339100546,0.1825805301203143,0.1616418370663192,0.0076828520326586,0.0076828520326586,0.1146355548041316,256-256-256,256,1000,341,1917.284833017737
7,0,8,100000,corr,10,RealNVPN,relu,8,-16,0,None,-1,0.4171345712603521,0.4538253086466429,0.1952213820523799,0.1773445265076066,0.0040984511968765,0.0040984511968765,0.0664699952626881,128-128-128,256,1000,208,2166.3358754795045
8,0,8,100000,corr,10,RealNVPN,relu,8,-16,0,None,-1,0.4359591982521685,0.4503641849099119,0.196518880082619,0.1832318338301559,0.0059924577335162,0.0059924577335162,0.0882983598113468,256-256-256,256,1000,216,2240.6397342365235
9,0,16,100000,corr,5,RealNVPN,relu,8,-16,0,None,-1,0.4214552081269848,0.437735319278013,0.1664637400264038,0.1594313863781025,0.0078101397526308,0.0078101397526308,0.1621128174908883,128-128-128,256,1000,360,1788.2702850960195
10,0,16,100000,corr,5,RealNVPN,relu,8,-16,0,None,-1,0.2381112606277458,0.3140035007266751,0.1200459008825818,0.0921043215816339,0.0177535090294496,0.0177535090294496,0.3106909136734356,256-256-256,256,1000,205,1046.224868528545
11,0,16,100000,corr,10,RealNVPN,relu,8,-16,0,None,-1,0.2782733110865807,0.3400770498387174,0.096789787962279,0.1049286309284442,0.0140369306174524,0.0140369306174524,0.2760788609479158,128-128-128,256,1000,162,1552.3412774205208
12,0,16,100000,corr,10,RealNVPN,relu,8,-16,0,None,-1,0.2597202858356574,0.3161382124057495,0.1178136521925616,0.0984541727581791,0.0159524978396677,0.0159524978396677,0.3942530091681106,256-256-256,256,1000,138,1296.9876524638385
13,0,32,100000,corr,5,RealNVPN,relu,8,-16,0,None,-1,0.239867103467412,0.2577795300460228,0.0664752123620444,0.0764016537888758,0.0096964647467552,0.0096964647467552,0.410291696190327,128-128-128,256,1000,361,1790.976878600195
14,0,32,100000,corr,5,RealNVPN,relu,8,-16,0,None,-1,0.2597826708120523,0.2634514939908133,0.0727893307041945,0.082828014979654,0.0077558146445839,0.0077558146445839,0.4048681003974227,256-256-256,256,1000,343,1510.961065672338
15,0,32,100000,corr,10,RealNVPN,relu,8,-16,0,None,-1,0.164655965334487,0.1332884064671534,0.0471034545041265,0.0533777266704492,0.0140929991058881,0.0140929991058881,0.7111262759516814,128-128-128,256,1000,180,1589.182567274198
16,0,32,100000,corr,10,RealNVPN,relu,8,-16,0,None,-1,0.1177518627298328,0.0481493823981914,0.0062437947141969,0.0318507584952647,0.0156552728066969,0.0156552728066969,1.6318280121483006,256-256-256,256,1000,142,1333.429545916617
17,0,64,100000,corr,5,RealNVPN,relu,8,-16,0,None,-1,0.1328212129343245,0.083110793876136,0.0162991827266784,0.0367230042920025,0.0209828208671694,0.0209828208671694,0.640754286412416,128-128-128,256,1000,941,4647.128737615421
