run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,kl_divergence,ks_test_mean,ks_test_median,ad_test_mean,ad_test_median,Wasserstein_median,Wasserstein_mean,frob_norm,hidden_layers,batch_size,epochs_input,epochs_output,time
43,0,32,100000,corr,10,CsplineN,relu,8,-16,0,None,-1,0.0,0.0,0.0010000000000000002,0.0010000000000000002,nan,nan,nan,128-128-128,512,1000,339,15523.76071337983
44,0,32,100000,corr,10,CsplineN,relu,8,-16,0,None,-1,0.0,0.0,0.0010000000000000002,0.0010000000000000002,nan,nan,nan,256-256-256,512,1000,864,43302.4274899289
46,0,32,100000,corr,10,CsplineN,relu,12,-16,0,None,-1,0.0,0.0,0.0010000000000000002,0.0010000000000000002,nan,nan,nan,128-128-128,512,1000,360,21300.510122304782
47,0,32,100000,corr,10,CsplineN,relu,12,-16,0,None,-1,0.19609761759746908,0.17841375289008338,0.10728056735657451,0.10270665938602225,0.0844566750583223,0.0844566750583223,0.3061140179905013,256-256-256,512,1000,128,8145.0011489242315
49,0,64,100000,corr,5,CsplineN,relu,8,-16,0,None,-1,0.0,0.0,0.0010000000000000002,0.0010000000000000002,nan,nan,nan,128-128-128,512,1000,595,18116.692099075764
55,0,64,100000,corr,10,CsplineN,relu,8,-16,0,None,-1,0.0,0.0,0.0010000000000000002,0.0010000000000000002,nan,nan,nan,128-128-128,512,1000,1000,72484.24061999097
56,0,64,100000,corr,10,CsplineN,relu,8,-16,0,None,-1,0.0,0.0,0.0010000000000000002,0.0010000000000000002,nan,nan,nan,256-256-256,512,1000,1000,56578.95605814457
57,0,64,100000,corr,10,CsplineN,relu,8,-16,0,None,-1,0.0,0.0,0.0010000000000000002,0.0010000000000000002,nan,nan,nan,512-512-512,512,1000,136,7022.878355780616
58,0,64,100000,corr,10,CsplineN,relu,12,-16,0,None,-1,0.0,0.0,0.0010000000000000002,0.0010000000000000002,nan,nan,nan,128-128-128,512,1000,440,25388.64664761536
59,0,64,100000,corr,10,CsplineN,relu,12,-16,0,None,-1,0.0,0.0,0.0010000000000000002,0.0010000000000000002,nan,nan,nan,256-256-256,512,1000,664,39106.55634417944
60,0,64,100000,corr,10,CsplineN,relu,12,-16,0,None,-1,0.0,0.0,0.0010000000000000002,0.0010000000000000002,nan,nan,nan,512-512-512,512,1000,584,32189.073643900454
61,0,100,100000,corr,5,CsplineN,relu,8,-16,0,None,-1,0.0,0.0,0.0010000000000000002,0.0010000000000000002,nan,nan,nan,128-128-128,512,1000,1000,25130.17446126789
62,0,100,100000,corr,5,CsplineN,relu,8,-16,0,None,-1,0.0,0.0,0.0010000000000000002,0.0010000000000000002,nan,nan,nan,256-256-256,512,1000,1000,24812.24164784327
63,0,100,100000,corr,5,CsplineN,relu,8,-16,0,None,-1,0.0,0.0,0.0010000000000000002,0.0010000000000000002,nan,nan,nan,512-512-512,512,1000,278,7261.4960676543415
64,0,100,100000,corr,5,CsplineN,relu,12,-16,0,None,-1,0.0,0.0,0.0010000000000000002,0.0010000000000000002,nan,nan,nan,128-128-128,512,1000,566,15487.978274146095
65,0,100,100000,corr,5,CsplineN,relu,12,-16,0,None,-1,0.0,0.0,0.0010000000000000002,0.0010000000000000002,nan,nan,nan,256-256-256,512,1000,1000,28696.035380208865
43,0,32,100000,corr,10,CsplineN,relu,8,-16,0,None,nan,nan,nan,nan,nan,nan,nan,nan,128-128-128,512,1000,nan,nan
44,0,32,100000,corr,10,CsplineN,relu,8,-16,0,None,nan,nan,nan,nan,nan,nan,nan,nan,256-256-256,512,1000,nan,nan
46,0,32,100000,corr,10,CsplineN,relu,12,-16,0,None,nan,nan,nan,nan,nan,nan,nan,nan,128-128-128,512,1000,nan,nan
49,0,64,100000,corr,5,CsplineN,relu,8,-16,0,None,nan,nan,nan,nan,nan,nan,nan,nan,128-128-128,512,1000,nan,nan
50,0,64,100000,corr,5,CsplineN,relu,8,-16,0,None,-1,0.08461445748529449,0.013988924156832908,0.01851931380039262,0.0592660136441966,0.1919218980989707,0.1919218980989707,0.5192948192986221,256-256-256,512,1000,292,6292.936110900715
