run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,kl_divergence,ks_test_mean,ks_test_median,ad_test_mean,ad_test_median,Wasserstein_median,Wasserstein_mean,frob_norm,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,4,100000,corr,5,CsplineN,relu,8,-16,0,None,-1.0,0.4219780095369288,0.4239664354220299,0.2081305228449916,0.208250124833542,0.0251567506782307,0.0251567506782307,0.018745317863354,128-128-128,512,1000,650.0,13977.279672591016
2,0,4,100000,corr,5,CsplineN,relu,8,-16,0,None,-1.0,0.4491294161053595,0.4374014892093611,0.2128582341933049,0.2150097264112204,0.0203117782854779,0.0203117782854779,0.0500355025612127,256-256-256,512,1000,399.0,8840.973891073372
3,0,4,100000,corr,5,CsplineN,relu,8,-16,0,None,-1.0,0.4009747892005565,0.3977720486555287,0.2150623800284248,0.2115339974639053,0.0407774638281181,0.0407774638281181,0.0292055605889518,512-512-512,512,1000,413.0,9011.374106385743
4,0,4,100000,corr,5,CsplineN,relu,12,-16,0,None,-1.0,0.4729910419211149,0.4714587793091157,0.2118468796855086,0.216385162555994,0.0176521310062855,0.0176521310062855,0.0222665461312216,128-128-128,512,1000,399.0,10340.12881263066
5,0,4,100000,corr,5,CsplineN,relu,12,-16,0,None,-1.0,0.2582632290689798,0.2740993123865826,0.1727314371753132,0.1740383505384634,0.0413079138314063,0.0413079138314063,0.055878130803951,256-256-256,512,1000,176.0,4556.2766123819165
6,0,4,100000,corr,5,CsplineN,relu,12,-16,0,None,-1.0,0.4405341606363504,0.4246078787729833,0.2136765261024708,0.2123456189408325,0.0349726670690651,0.0349726670690651,0.0503352383277516,512-512-512,512,1000,366.0,9442.39709539013
7,0,4,100000,corr,10,CsplineN,relu,8,-16,0,None,-1.0,0.4509468428935638,0.4521311803541606,0.213417389953787,0.2100782683748942,0.0234522055076925,0.0234522055076925,0.0411928511450683,128-128-128,512,1000,453.0,19441.69319114089
8,0,4,100000,corr,10,CsplineN,relu,8,-16,0,None,-1.0,0.4991236210718541,0.5012326090555421,0.2148577038850585,0.2175398858786633,0.0185208032828893,0.0185208032828893,0.0440297493486294,256-256-256,512,1000,381.0,17067.17160125682
9,0,4,100000,corr,10,CsplineN,relu,8,-16,0,None,-1.0,0.4544232825597794,0.4596140327516813,0.2119381887424931,0.2087854795186267,0.0240871361920343,0.0240871361920343,0.0362082473119623,512-512-512,512,1000,322.0,15777.569637890903
10,0,4,100000,corr,10,CsplineN,relu,12,-16,0,None,-1.0,0.3166205225691095,0.3223710124453448,0.195232813312543,0.181739801097861,0.0439221270915926,0.0439221270915926,0.043879377907081,128-128-128,512,1000,165.0,9534.498926753644
11,0,4,100000,corr,10,CsplineN,relu,12,-16,0,None,-1.0,0.425515101086465,0.4335737018132904,0.2107226879588249,0.2095850582835781,0.0259978660261904,0.0259978660261904,0.029241257179349,256-256-256,512,1000,351.0,20223.42551027285
12,0,4,100000,corr,10,CsplineN,relu,12,-16,0,None,-1.0,0.5014529805152168,0.4997096710981086,0.2192973751772269,0.2189136637160311,0.0186819228432591,0.0186819228432591,0.0317927682703453,512-512-512,512,1000,275.0,14104.81446493417
13,0,8,100000,corr,5,CsplineN,relu,8,-16,0,None,-1.0,0.2747298021600411,0.2798699387612198,0.1810829161442512,0.1686589356140117,0.0783468010791067,0.0783468010791067,0.0884809833460932,128-128-128,512,1000,283.0,6000.415814070031
14,0,8,100000,corr,5,CsplineN,relu,8,-16,0,None,-1.0,0.2580458793662865,0.2529903637699611,0.142713502677835,0.1372578848686123,0.0703661290039294,0.0703661290039294,0.1294949501487304,256-256-256,512,1000,205.0,4555.453963820823
15,0,8,100000,corr,5,CsplineN,relu,8,-16,0,None,-1.0,0.2187567790119082,0.2133987041987829,0.1432616188590987,0.1359879392746454,0.0619099474555129,0.0619099474555129,0.152588999068886,512-512-512,512,1000,170.0,3733.022981497925
16,0,8,100000,corr,5,CsplineN,relu,12,-16,0,None,-1.0,0.3201814392815033,0.3593106349318163,0.1805678767434712,0.168391767101827,0.0484092705588918,0.0484092705588918,0.0726255903857286,128-128-128,512,1000,232.0,5676.412482070271
17,0,8,100000,corr,5,CsplineN,relu,12,-16,0,None,-1.0,0.3016250197409045,0.3202900911009175,0.1726752515983721,0.1727746686148342,0.0638565060357791,0.0638565060357791,0.0926348735368711,256-256-256,512,1000,169.0,4285.927391627803
18,0,8,100000,corr,5,CsplineN,relu,12,-16,0,None,-1.0,0.2473831889152223,0.234652771142259,0.134121947918844,0.1490015298973896,0.0747777993600761,0.0747777993600761,0.0823220469069694,512-512-512,512,1000,145.0,3714.472756424919
19,0,8,100000,corr,10,CsplineN,relu,8,-16,0,None,-1.0,0.3099605584663201,0.312566424189504,0.1874528989787667,0.170659947294881,0.0574742838522569,0.0574742838522569,0.1161117497392755,128-128-128,512,1000,164.0,7171.98360968614
20,0,8,100000,corr,10,CsplineN,relu,8,-16,0,None,-1.0,0.3515342948243953,0.3793142842351422,0.1882291450829169,0.184888799701422,0.0468192856224495,0.0468192856224495,0.1203041052879474,256-256-256,512,1000,159.0,7111.539134300314
21,0,8,100000,corr,10,CsplineN,relu,8,-16,0,None,-1.0,0.2907607898351902,0.3082981196139612,0.1652616896834865,0.1614608090318612,0.0441993740772078,0.0441993740772078,0.0824615951285629,512-512-512,512,1000,143.0,6537.951397343073
22,0,8,100000,corr,10,CsplineN,relu,12,-16,0,None,-1.0,0.2810052186120365,0.2687012711923172,0.1848344950753107,0.1642780878589481,0.0562509677915535,0.0562509677915535,0.0957501349653073,128-128-128,512,1000,144.0,7330.175569571089
23,0,8,100000,corr,10,CsplineN,relu,12,-16,0,None,-1.0,0.3755962513202794,0.3860958242213599,0.1971908177985144,0.1920510041740711,0.0440394941527349,0.0440394941527349,0.0836986432476046,256-256-256,512,1000,129.0,6730.259446233977
24,0,8,100000,corr,10,CsplineN,relu,12,-16,0,None,-1.0,0.4133919252307426,0.4419601219075457,0.2059853177737039,0.202984824641487,0.0324199072017049,0.0324199072017049,0.0693673417559656,512-512-512,512,1000,138.0,7204.03615463106
25,0,16,100000,corr,5,CsplineN,relu,8,-16,0,None,-1.0,0.2101005366374599,0.2523067428032998,0.1583095102751924,0.1353187436015106,0.0558567144377367,0.0558567144377367,0.1456083411548484,128-128-128,512,1000,208.0,4383.492176370695
26,0,16,100000,corr,5,CsplineN,relu,8,-16,0,None,-1.0,0.1492578374539079,0.1440857219377508,0.0980483859424302,0.1056136028367005,0.1123267942162031,0.1123267942162031,0.1518333521059609,256-256-256,512,1000,145.0,3135.462778200861
27,0,16,100000,corr,5,CsplineN,relu,8,-16,0,None,-1.0,0.1274339469930261,0.1114982492986822,0.0751624747129485,0.099135818055357,0.0820532493059515,0.0820532493059515,0.1613909275544683,512-512-512,512,1000,126.0,2809.994081825018
28,0,16,100000,corr,5,CsplineN,relu,12,-16,0,None,-1.0,0.1901907602512535,0.1932696838529132,0.1319283840720194,0.1211869135027147,0.0922882405237642,0.0922882405237642,0.1643297453985617,128-128-128,512,1000,146.0,3620.560276319273
29,0,16,100000,corr,5,CsplineN,relu,12,-16,0,None,-1.0,0.1647221498908517,0.1375448714769929,0.1356542090821773,0.1118042522485791,0.0707638930894334,0.0707638930894334,0.1802139383119169,256-256-256,512,1000,112.0,2873.059494938236
30,0,16,100000,corr,5,CsplineN,relu,12,-16,0,None,-1.0,0.1546418800959193,0.1159409474804662,0.1083983596768579,0.1057293750308015,0.0645046409542748,0.0645046409542748,0.1629915010969448,512-512-512,512,1000,114.0,3036.3067122856155
31,0,16,100000,corr,10,CsplineN,relu,8,-16,0,None,-1.0,0.2073414823311824,0.2200513910012497,0.1281770603882789,0.115734722097802,0.0694178935048286,0.0694178935048286,0.1972292709102076,128-128-128,512,1000,212.0,9277.93317023944
32,0,16,100000,corr,10,CsplineN,relu,8,-16,0,None,-1.0,0.1613449688982026,0.1673309675439958,0.1062530250651492,0.0998301291010804,0.0784243984253582,0.0784243984253582,0.1921016274671139,256-256-256,512,1000,114.0,5151.013142347336
33,0,16,100000,corr,10,CsplineN,relu,8,-16,0,None,-1.0,0.1937885287873485,0.1758700527263457,0.1347366055031669,0.1168367794005385,0.0754570616701846,0.0754570616701846,0.1899382613424793,512-512-512,512,1000,104.0,4987.851920241956
34,0,16,100000,corr,10,CsplineN,relu,12,-16,0,None,-1.0,0.1605886877717677,0.1284930692954149,0.0840402239872627,0.0892090597241287,0.0826553104773671,0.0826553104773671,0.157625276275815,128-128-128,512,1000,148.0,7744.735342857894
