run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,kl_divergence,ks_test_mean,ks_test_median,ad_test_mean,ad_test_median,Wasserstein_median,Wasserstein_mean,frob_norm,hidden_layers,batch_size,epochs_input,epochs_output,time
8,0,4,100000,corr,10,CsplineN,relu,8,-16,0,,-1,0.49912362107185415,0.5012326090555421,0.21485770388505857,0.21753988587866338,0.018520803282889377,0.018520803282889377,0.04402974934862942,256-256-256,512,1000,381,17067.17160125682
9,0,4,100000,corr,10,CsplineN,relu,8,-16,0,,-1,0.4544232825597794,0.45961403275168133,0.21193818874249315,0.2087854795186267,0.024087136192034328,0.024087136192034328,0.03620824731196236,512-512-512,512,1000,322,15777.569637890905
10,0,4,100000,corr,10,CsplineN,relu,12,-16,0,,-1,0.31662052256910955,0.3223710124453448,0.19523281331254305,0.18173980109786103,0.04392212709159264,0.04392212709159264,0.043879377907081074,128-128-128,512,1000,165,9534.498926753644
11,0,4,100000,corr,10,CsplineN,relu,12,-16,0,,-1,0.42551510108646506,0.4335737018132904,0.21072268795882493,0.20958505828357815,0.02599786602619044,0.02599786602619044,0.02924125717934904,256-256-256,512,1000,351,20223.42551027285
12,0,4,100000,corr,10,CsplineN,relu,12,-16,0,,-1,0.5014529805152168,0.4997096710981086,0.21929737517722692,0.21891366371603116,0.01868192284325919,0.01868192284325919,0.03179276827034539,512-512-512,512,1000,275,14104.81446493417
13,0,8,100000,corr,5,CsplineN,relu,8,-16,0,,-1,0.27472980216004117,0.2798699387612198,0.18108291614425126,0.1686589356140117,0.07834680107910677,0.07834680107910677,0.08848098334609322,128-128-128,512,1000,283,6000.415814070031
14,0,8,100000,corr,5,CsplineN,relu,8,-16,0,,-1,0.25804587936628653,0.25299036376996115,0.14271350267783506,0.1372578848686123,0.07036612900392941,0.07036612900392941,0.12949495014873044,256-256-256,512,1000,205,4555.4539638208225
15,0,8,100000,corr,5,CsplineN,relu,8,-16,0,,-1,0.2187567790119082,0.2133987041987829,0.14326161885909877,0.13598793927464542,0.06190994745551292,0.06190994745551292,0.15258899906888607,512-512-512,512,1000,170,3733.022981497925
16,0,8,100000,corr,5,CsplineN,relu,12,-16,0,,-1,0.32018143928150333,0.3593106349318163,0.1805678767434712,0.168391767101827,0.0484092705588918,0.0484092705588918,0.07262559038572869,128-128-128,512,1000,232,5676.412482070271
17,0,8,100000,corr,5,CsplineN,relu,12,-16,0,,-1,0.3016250197409045,0.32029009110091755,0.17267525159837216,0.17277466861483426,0.06385650603577912,0.06385650603577912,0.09263487353687112,256-256-256,512,1000,169,4285.927391627803
18,0,8,100000,corr,5,CsplineN,relu,12,-16,0,,-1,0.24738318891522235,0.23465277114225902,0.134121947918844,0.14900152989738966,0.07477779936007614,0.07477779936007614,0.08232204690696944,512-512-512,512,1000,145,3714.4727564249188
19,0,8,100000,corr,10,CsplineN,relu,8,-16,0,,-1,0.3099605584663201,0.312566424189504,0.18745289897876677,0.17065994729488101,0.05747428385225695,0.05747428385225695,0.11611174973927557,128-128-128,512,1000,164,7171.98360968614
20,0,8,100000,corr,10,CsplineN,relu,8,-16,0,,-1,0.3515342948243953,0.37931428423514224,0.18822914508291694,0.18488879970142208,0.04681928562244951,0.04681928562244951,0.12030410528794745,256-256-256,512,1000,159,7111.539134300314
21,0,8,100000,corr,10,CsplineN,relu,8,-16,0,,-1,0.29076078983519027,0.30829811961396125,0.1652616896834865,0.16146080903186122,0.04419937407720786,0.04419937407720786,0.08246159512856291,512-512-512,512,1000,143,6537.951397343073
22,0,8,100000,corr,10,CsplineN,relu,12,-16,0,,-1,0.2810052186120365,0.26870127119231724,0.18483449507531077,0.16427808785894818,0.056250967791553516,0.056250967791553516,0.09575013496530738,128-128-128,512,1000,144,7330.175569571089
23,0,8,100000,corr,10,CsplineN,relu,12,-16,0,,-1,0.3755962513202794,0.3860958242213599,0.19719081779851444,0.19205100417407112,0.044039494152734976,0.044039494152734976,0.08369864324760468,256-256-256,512,1000,129,6730.259446233977
24,0,8,100000,corr,10,CsplineN,relu,12,-16,0,,-1,0.41339192523074264,0.4419601219075457,0.20598531777370394,0.20298482464148704,0.0324199072017049,0.0324199072017049,0.06936734175596569,512-512-512,512,1000,138,7204.03615463106
25,0,16,100000,corr,5,CsplineN,relu,8,-16,0,,-1,0.21010053663745995,0.2523067428032998,0.15830951027519247,0.1353187436015106,0.05585671443773675,0.05585671443773675,0.14560834115484841,128-128-128,512,1000,208,4383.492176370695
26,0,16,100000,corr,5,CsplineN,relu,8,-16,0,,-1,0.14925783745390794,0.14408572193775085,0.09804838594243029,0.10561360283670057,0.11232679421620312,0.11232679421620312,0.1518333521059609,256-256-256,512,1000,145,3135.462778200861
27,0,16,100000,corr,5,CsplineN,relu,8,-16,0,,-1,0.12743394699302613,0.11149824929868221,0.07516247471294854,0.09913581805535704,0.08205324930595151,0.08205324930595151,0.16139092755446832,512-512-512,512,1000,126,2809.994081825018
28,0,16,100000,corr,5,CsplineN,relu,12,-16,0,,-1,0.19019076025125353,0.19326968385291327,0.13192838407201943,0.12118691350271471,0.09228824052376426,0.09228824052376426,0.16432974539856177,128-128-128,512,1000,146,3620.560276319273
