run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,kl_divergence,ks_test_mean,ks_test_median,ad_test_mean,ad_test_median,Wasserstein_median,Wasserstein_mean,frob_norm,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,4,100000,corr,5,MAFN,relu,8,-5,0,None,-1,0.3298463711834369,0.3615446586233628,0.1974421662580928,0.197809663653429,0.0544089145107077,0.0544089145107077,0.025785521237465,128-128-128,512,1000,356,864.9322041920386
2,0,4,100000,corr,5,MAFN,relu,8,-5,0,None,-1,0.1874584632030186,0.1933814009425262,0.1553216776224273,0.1443261841624389,0.0513298557665408,0.0513298557665408,0.0462538934353342,256-256-256,512,1000,252,631.7648975858465
3,0,4,100000,corr,10,MAFN,relu,8,-5,0,None,-1,0.4392298238258775,0.4379205565532924,0.2175162513685239,0.2152119714663657,0.0315733729909209,0.0315733729909209,0.0454684352490352,128-128-128,512,1000,357,1606.1172397718765
4,0,4,100000,corr,10,MAFN,relu,8,-5,0,None,-1,0.348481455376358,0.3485736312307828,0.2026815964170955,0.1939995418988809,0.0382260247877331,0.0382260247877331,0.0767911977042664,256-256-256,512,1000,275,1287.8614716362208
5,0,8,100000,corr,5,MAFN,relu,8,-5,0,None,-1,0.2143178153822744,0.1578553093021681,0.1012225485985951,0.1157438224901369,0.0842213159614987,0.0842213159614987,0.1616512551189192,128-128-128,512,1000,255,622.0109322657809
6,0,8,100000,corr,5,MAFN,relu,8,-5,0,None,-1,0.1088182297587085,0.1006211704824487,0.0767417275271041,0.0851987421140285,0.0946842188680543,0.0946842188680543,0.1349652703391242,256-256-256,512,1000,90,231.0011979257688
7,0,8,100000,corr,10,MAFN,relu,8,-5,0,None,-1,0.2411385378836947,0.2341688491830253,0.1398918630172044,0.1366518299476251,0.0692866838464566,0.0692866838464566,0.0806958489881751,128-128-128,512,1000,207,928.5541791506112
8,0,8,100000,corr,10,MAFN,relu,8,-5,0,None,-1,0.1796730306701678,0.1516561039938595,0.1275766168626123,0.1202895568194216,0.0870077321454037,0.0870077321454037,0.0867460552553598,256-256-256,512,1000,72,344.98905027331784
9,0,16,100000,corr,5,MAFN,relu,8,-5,0,None,-1,0.0053827641506532,0.0002435238270358,0.0010463615127127,0.0037455996824204,0.1757401306494216,0.1757401306494216,0.2633638122052599,128-128-128,512,1000,63,167.6204885658808
10,0,16,100000,corr,5,MAFN,relu,8,-5,0,None,-1,0.0250945812828473,0.0004555999068353,0.0010033871024762,0.0094141055513717,0.2255774076866197,0.2255774076866197,0.2633617908214162,256-256-256,512,1000,48,127.00767198437823
11,0,16,100000,corr,10,MAFN,relu,8,-5,0,None,-1,0.1962446420503789,0.1962757655623574,0.1452712296534358,0.1244112351908175,0.0673112060073992,0.0673112060073992,0.1642786266541168,128-128-128,512,1000,319,1475.1015325989574
12,0,16,100000,corr,10,MAFN,relu,8,-5,0,None,-1,0.0601214019898697,0.0355170044806029,0.043915825937932,0.0460448622689545,0.1091614057896566,0.1091614057896566,0.1806324041737377,256-256-256,512,1000,78,373.46909999707714
13,0,32,100000,corr,5,MAFN,relu,8,-5,0,None,-1,0.0680704965633138,0.0298115388088942,0.0354699673834415,0.0493427407283555,0.1363055162996978,0.1363055162996978,0.4793775765031731,128-128-128,512,1000,482,1220.9453112520278
14,0,32,100000,corr,5,MAFN,relu,8,-5,0,None,-1,0.0458481221028426,0.0122912236418038,0.0133436380401774,0.0241725144147404,0.1717455751106993,0.1717455751106993,0.3816160504524267,256-256-256,512,1000,312,803.6312430128455
15,0,32,100000,corr,10,MAFN,relu,8,-5,0,None,-1,0.0078322323079812,7.619706811596423e-11,0.001,0.004333683588131,0.4523298137367686,0.4523298137367686,0.7372487855360736,128-128-128,512,1000,64,308.6221763677895
16,0,32,100000,corr,10,MAFN,relu,8,-5,0,None,-1,0.0099736924976828,3.841392552817492e-06,0.001,0.0054426906565638,0.2907432338007387,0.2907432338007387,0.4638964538548371,256-256-256,512,1000,72,348.9151017330587
17,0,64,100000,corr,5,MAFN,relu,8,-5,0,None,-1,0.0264430928082778,0.0002424699258638,0.0010774016141178,0.0141616208646904,0.3156615944448236,0.3156615944448236,2.262928591657115,128-128-128,512,1000,423,1089.1435608491302
18,0,64,100000,corr,5,MAFN,relu,8,-5,0,None,-1,0.0234871763444159,0.0001392377155621,0.0010460294344338,0.013516357650634,0.2454165608530043,0.2454165608530043,0.9056023188211736,256-256-256,512,1000,236,616.7035930138081
19,0,64,100000,corr,10,MAFN,relu,8,-5,0,None,-1,0.0084636685277242,5.435623090873869e-05,0.0010000897346469,0.0057077421437425,0.2652583544580296,0.2652583544580296,1.7016663376369037,128-128-128,512,1000,163,731.9775725398213
20,0,64,100000,corr,10,MAFN,relu,8,-5,0,None,-1,0.0224639013301726,0.0001522083656236,0.0010091496619393,0.0126918509126228,0.2428908092260545,0.2428908092260545,1.5633891951257222,256-256-256,512,1000,210,1015.9724727645516
21,0,100,100000,corr,5,MAFN,relu,8,-5,0,None,-1,0.0114617821036662,4.3654006185697517e-10,0.001,0.0067651145504136,0.5069404507867721,0.5069404507867721,2.9092967886202223,128-128-128,512,1000,253,650.8183903414756
