run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,kl_divergence,ks_test_mean,ks_test_median,ad_test_mean,ad_test_median,Wasserstein_median,Wasserstein_mean,frob_norm,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,4,100000,corr,2,MsplineN,relu,8,-16,0,None,-1,0.4745110103423046,0.4804282674980502,0.214521521131905,0.2184689045231748,0.0211890999283119,0.0211890999283119,0.0295362985820226,128-128-128,512,1000,391,2197.8847347600386
2,0,4,100000,corr,2,MsplineN,relu,8,-16,0,None,-1,0.481649754103345,0.4770329750000975,0.2207349271037768,0.2168887275483996,0.0227080088841641,0.0227080088841641,0.0425393759752359,256-256-256,512,1000,549,3066.342032950837
3,0,4,100000,corr,2,MsplineN,relu,12,-16,0,None,-1,0.4910280064408779,0.47867599080739,0.214728107966785,0.2192150164966188,0.0244589033237638,0.0244589033237638,0.0124704959247515,128-128-128,512,1000,342,1921.5449243108744
4,0,4,100000,corr,2,MsplineN,relu,12,-16,0,None,-1,0.4657011043529871,0.4836059486038825,0.2158993782363741,0.2158000921405446,0.0195489840997638,0.0195489840997638,0.0359430277801312,256-256-256,512,1000,377,2099.8853690722026
5,0,8,100000,corr,2,MsplineN,relu,8,-16,0,None,-1,0.3931322103319369,0.3786415335525431,0.2037803154608658,0.2010830167515806,0.0358065500361782,0.0358065500361782,0.0524346128272824,128-128-128,512,1000,212,1202.9853001222946
6,0,8,100000,corr,2,MsplineN,relu,8,-16,0,None,-1,0.3733819353890293,0.3811047411853432,0.1841082998115217,0.1893044338592379,0.043890970033404,0.043890970033404,0.0774522488002034,256-256-256,512,1000,114,632.1318329190835
7,0,8,100000,corr,2,MsplineN,relu,12,-16,0,None,-1,0.3736129144425132,0.3905916341886606,0.196889779812364,0.1783136981588834,0.0561358422473032,0.0561358422473032,0.0565235207269611,128-128-128,512,1000,171,958.4552574297412
8,0,8,100000,corr,2,MsplineN,relu,12,-16,0,None,-1,0.3700032702343796,0.3867014847254684,0.1830743818900486,0.1793865726177672,0.0492395314231098,0.0492395314231098,0.0562088597343756,256-256-256,512,1000,139,786.1398207591847
9,0,16,100000,corr,2,MsplineN,relu,8,-16,0,None,-1,0.3414435386280789,0.3604049960176632,0.1859202426365384,0.1760159482623455,0.0592969184042736,0.0592969184042736,0.1137741242445671,128-128-128,512,1000,169,936.5964127741754
10,0,16,100000,corr,2,MsplineN,relu,8,-16,0,None,-1,0.2869703026779659,0.3311036498543936,0.180841807776682,0.1579161417307825,0.0564340659179469,0.0564340659179469,0.1209031899071472,256-256-256,512,1000,110,637.5718232993968
