run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,kl_divergence,ks_test_mean,ks_test_median,ad_test_mean,ad_test_median,Wasserstein_median,Wasserstein_mean,frob_norm,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,4,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.187169443993387,0.1619902181994487,0.1463575909020245,0.1416242443657722,0.0770523506368019,0.0770523506368019,0.0457671777583944,128-128-128,256,1000,394,2183.345761207864
2,0,4,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.1880156076409625,0.1419718112524853,0.1717240590203175,0.1544716932284267,0.0477189672547574,0.0477189672547574,0.0390288966491128,256-256-256,256,1000,492,2763.2705311491154
3,0,4,100000,corr,10,RealNVPN,relu,8,-5,0,None,-1,0.3756867428305203,0.3917572261933558,0.2085709859344939,0.2104456008642312,0.0383811582523207,0.0383811582523207,0.0576288480733098,128-128-128,256,1000,463,4765.213427060284
4,0,4,100000,corr,10,RealNVPN,relu,8,-5,0,None,-1,0.4023665312007242,0.4285235268026542,0.2127319664112605,0.2138098798595203,0.0363595834672401,0.0363595834672401,0.1047898424416648,256-256-256,256,1000,439,4376.519110568799
5,0,8,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.1224069593437391,0.093670141551949,0.0930095926555361,0.1000265547250378,0.1062420718230258,0.1062420718230258,0.1021805309470712,128-128-128,256,1000,294,1599.0948925600387
6,0,8,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.2018186747543934,0.2005304785499849,0.1351367423600573,0.1321204294489325,0.0729234476123416,0.0729234476123416,0.095815256495162,256-256-256,256,1000,231,1284.923277833965
7,0,8,100000,corr,10,RealNVPN,relu,8,-5,0,None,-1,0.3420405323245735,0.385050797964086,0.1950078030082487,0.1750367854389538,0.049691398653312,0.049691398653312,0.069934356618525,128-128-128,256,1000,219,2179.8197079896927
8,0,8,100000,corr,10,RealNVPN,relu,8,-5,0,None,-1,0.3561281036264154,0.4068348049604072,0.2009911200341851,0.1907740451441046,0.0339621786953154,0.0339621786953154,0.0798076031490023,256-256-256,256,1000,213,2056.558033317793
9,0,16,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.114925945457578,0.0881439929628041,0.0839625128562236,0.0784544304057835,0.1137535712082017,0.1137535712082017,0.214635189316304,128-128-128,256,1000,322,1705.9220579918474
10,0,16,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.0712972358998365,0.056876647076711,0.0532920756742101,0.0555561406375965,0.1220862964906597,0.1220862964906597,0.4798821006534045,256-256-256,256,1000,256,1415.5501096127557
11,0,16,100000,corr,10,RealNVPN,relu,8,-5,0,None,-1,0.1699653118462768,0.1618176354458467,0.119492445937362,0.1067667323728454,0.0774941236484028,0.0774941236484028,0.1814134236963232,128-128-128,256,1000,261,2641.3812386891805
12,0,16,100000,corr,10,RealNVPN,relu,8,-5,0,None,-1,0.043555780208329,0.0322810344001572,0.0122320800578433,0.0260893405884838,0.116494436627311,0.116494436627311,0.2345214779167819,256-256-256,256,1000,135,1322.3750077188015
13,0,32,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.0359630610046714,0.0046595760683201,0.0049867340208789,0.023978659684831,0.1807721428647631,0.1807721428647631,0.4357217132493592,128-128-128,256,1000,370,1961.8923105788415
14,0,32,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.0129231593344137,0.0003735466835393,0.0011011500079715,0.007862326514993,0.2207118848900445,0.2207118848900445,0.5514918253805496,256-256-256,256,1000,136,758.0239782230929
15,0,32,100000,corr,10,RealNVPN,relu,8,-5,0,None,-1,0.0860840083544991,0.0541252993062106,0.0443474874020282,0.0629000438258744,0.1329959533769295,0.1329959533769295,0.4234735740921083,128-128-128,256,1000,469,4916.299248902127
16,0,32,100000,corr,10,RealNVPN,relu,8,-5,0,None,-1,0.0264673400732108,0.0040353573208388,0.0033732832171272,0.0198925365031836,0.1912826247975718,0.1912826247975718,0.4161435851465233,256-256-256,256,1000,150,1609.7072319108993
17,0,64,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.0046971953147253,3.549881507558216e-05,0.001,0.0027939995865517,0.3375235210135296,0.3375235210135296,0.8994685199928371,128-128-128,256,1000,426,2314.013049695641
18,0,64,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.0067891000623377,2.837585040147084e-05,0.001,0.0031309068213991,0.2754009299244955,0.2754009299244955,0.7256989185762178,256-256-256,256,1000,206,1113.7048196280375
19,0,64,100000,corr,10,RealNVPN,relu,8,-5,0,None,-1,0.0221660699896082,0.0002512683789292,0.0010183226564633,0.0116326028530802,0.2624530359669732,0.2624530359669732,0.735169498769888,128-128-128,256,1000,486,4670.889578070026
20,0,64,100000,corr,10,RealNVPN,relu,8,-5,0,None,-1,0.0077492597470087,3.665778741879851e-05,0.001,0.0036265030517322,0.29143085070022,0.29143085070022,0.9305576574536248,256-256-256,256,1000,204,2071.337107681204
21,0,100,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.0076298243563984,4.1143590480235114e-09,0.001,0.0050647021797621,0.4968920147847714,0.4968920147847714,1.7933986686746142,128-128-128,256,1000,399,2111.5133746112697
22,0,100,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.0077138021368381,4.6060490080506155e-09,0.001,0.0046776547733276,0.4567031583263916,0.4567031583263916,1.3700319761109667,256-256-256,256,1000,208,1191.735043115914
23,0,100,100000,corr,10,RealNVPN,relu,8,-5,0,None,-1,0.0090659830149256,6.998515703233896e-08,0.001,0.0054596344007403,0.4114236595075072,0.4114236595075072,1.1871292880528173,128-128-128,256,1000,318,3124.2223002649844
24,0,100,100000,corr,10,RealNVPN,relu,8,-5,0,None,-1,0.0101899862024587,1.7757812757528208e-06,0.001,0.0060799412605562,0.3597095658569719,0.3597095658569719,1.3157487639282492,256-256-256,256,1000,283,2744.9302370632067
25,0,200,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.0082877094303936,8.930418839230347e-12,0.001,0.0052264256304165,0.6075420037141682,0.6075420037141682,1.86330795357892,128-128-128,256,1000,490,2644.2887508599088
