run_n,seed_train,seed_test,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,0,9,100000,None,5,MAFN,relu,8,-5,0,None,0.0050091181028326095,0.017985005276403458,0.0011513318880247893,0.0006257087424949206,12.065555046831474,13.661444543196149,15.041693839153833,7.289070464768432,0.41856077454195406,0.014353202431654246,128-128-128,512,100,100,339.10050018131733
2,0,0,9,100000,None,5,MAFN,relu,8,-5,0,None,0.02189427351678018,0.06781856381218437,0.0053806543951560116,0.015148903475719587,11.825744438262157,13.327326097029912,15.922640091454616,7.7148948332957,0.552477025968521,0.01605575477857759,256-256-256,512,100,100,314.74305822793394
3,0,0,9,100000,None,5,MAFN,relu,8,-5,0,None,3.180334850620353e-05,0.00020146748542690447,0.0010000000000000002,2.168404344971009e-19,13.448062531827473,15.947194209241804,16.346731382541428,8.262677898224863,0.5574063711993806,0.013853356558017404,128-128-128,1024,100,100,167.38926753215492
4,0,0,9,100000,None,5,MAFN,relu,8,-5,0,None,0.010921314214279398,0.04029131224716692,0.0021620474808995674,0.0035291384311887707,11.715662560300679,13.75677200960401,15.839359051210442,7.6009575487946055,0.21801399582824046,0.012894860928651568,256-256-256,1024,100,100,147.27445725072175
5,0,0,9,100000,None,10,MAFN,relu,8,-5,0,None,0.001247524599114734,0.0033933638284468766,0.0010000000000000002,2.168404344971009e-19,11.868808935631861,11.869071417886307,14.332792616511552,6.8148952734649,1.1854805333709746,0.00946035220687159,128-128-128,512,100,100,571.6161657664925
6,0,0,9,100000,None,10,MAFN,relu,8,-5,0,None,3.932807065331741e-17,2.2549744298796237e-16,0.0010000000000000002,2.168404344971009e-19,25.568153126331147,29.794099264755072,32.00316118903405,15.125151253329774,0.73916400965844,0.011406727277907057,256-256-256,512,100,61,353.2517206845805
7,0,0,9,100000,None,10,MAFN,relu,8,-5,0,None,0.0013410864970804898,0.005040583350087415,0.0010000000000000002,2.168404344971009e-19,12.908280865355563,13.866707323028134,17.174317868486586,8.587801195751847,0.4948141555907129,0.008761093740331486,128-128-128,1024,100,100,297.66772141493857
8,0,0,9,100000,None,10,MAFN,relu,8,-5,0,None,1.4435938542619695e-11,1.0077667355164467e-10,0.0010000000000000002,2.168404344971009e-19,25.592284728020285,29.890439426733167,32.825735336310295,15.276133846972565,0.6991047934838633,0.011546491874885796,256-256-256,1024,100,62,197.77468573208898
1,0,0,9,100000,None,5,MAFN,relu,8,-5,0,None,0.014230714691310167,0.05225656383754944,0.0031994464414438874,0.006655776470368393,12.334234041112747,14.18803880360268,16.57440978728624,8.161413230370677,0.30486278454278215,0.018818490416496983,128-128-128,512,2,102,12.574255371466279
2,0,0,9,100000,None,5,MAFN,relu,8,-5,0,None,0.003635020819045551,0.018086573259100992,0.0030968496057045573,0.00746926489896243,11.745877268385101,13.783149962909087,16.562963609300777,7.722107829272489,0.27628107367123456,0.020114492932619295,256-256-256,512,2,102,11.691216885112226
3,0,0,9,100000,None,10,MAFN,relu,8,-5,0,None,1.1859491425649328e-11,6.593108711828425e-11,0.0010000000000000002,2.168404344971009e-19,39.06468954182136,58.56906125961222,68.20309080880948,35.511033815392125,1.4255231831180613,0.024740161942004495,128-128-128,512,2,102,22.17629000544548
4,0,0,9,100000,None,10,MAFN,relu,8,-5,0,None,3.734308776122611e-06,2.923887843137594e-05,0.0010000000000000002,2.168404344971009e-19,33.57059265467127,42.14979529998134,51.53547726223357,22.717092677909918,1.648180828883638,0.01628561299211583,256-256-256,512,2,102,21.52119761519134
