run_n,seed_train,seed_test,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,time,training_device
1,0,0,9,100000,,5,MAFN,relu,8,-5,0,,0.003940818922425354,0.013136678211542746,0.0011758144868005023,0.0006342554495874921,12.911020127975045,14.272599453649164,17.37729004449684,7.66352611049412,0.593830861667429,0.015853284393801532,128-128-128,512,1000,197,584.9120928496122,"['/device:GPU:0', 'device: 0, name: NVIDIA A40, pci bus id: 0000:4b:00.0, compute capability: 8.6']"
2,0,0,9,100000,,5,MAFN,relu,8,-5,0,,0.02330718729516744,0.07445559549661211,0.004975043182961714,0.01199430566895656,595.0150435958449,1654.5446964271352,1438.8614867464892,1012.2985466096941,1.2778914172613853,0.0227402539116028,256-256-256,512,1000,175,543.9849588721991,"['/device:GPU:0', 'device: 0, name: NVIDIA A40, pci bus id: 0000:4b:00.0, compute capability: 8.6']"
3,0,0,9,100000,,5,MAFN,relu,8,-5,0,,0.0005765356898004648,0.003137430255566528,0.0010000000000000002,2.168404344971009e-19,15.006808936454695,17.692998002291866,22.794775179126372,9.946696437603942,0.6113993230991388,0.010529503323261162,512-512-512,512,1000,84,270.814086727798,"['/device:GPU:0', 'device: 0, name: NVIDIA A40, pci bus id: 0000:4b:00.0, compute capability: 8.6']"
4,0,0,9,100000,,5,MAFN,relu,8,-5,0,,1.48918915440179e-05,8.999372094545668e-05,0.0010048905240976113,4.613711206272977e-05,10.714179669412983,11.731903114767613,12.375247216611196,6.0477230058438805,0.2562659763630001,0.016150400701249616,128-128-128-128-128,512,1000,399,1421.6510801389813,"['/device:GPU:0', 'device: 0, name: NVIDIA A40, pci bus id: 0000:4b:00.0, compute capability: 8.6']"
5,0,0,9,100000,,5,MAFN,relu,8,-5,0,,2.377075687836313e-07,1.2250000450789437e-06,0.0010000000000000002,2.168404344971009e-19,17.288433043141985,21.008688552105447,21.397313535831987,10.01235622614175,0.6849096500951102,0.008066029265096395,256-256-256-256-256,512,1000,75,268.2536783302203,"['/device:GPU:0', 'device: 0, name: NVIDIA A40, pci bus id: 0000:4b:00.0, compute capability: 8.6']"
6,0,0,9,100000,,5,MAFN,relu,8,-5,0,,0.02625752777565748,0.07230890956730862,0.00738134240196001,0.02303285568717095,7.785070508599909,7.551992901034055,9.324252291757162,4.852606883008592,0.27274305520886233,0.013004106837356985,512-512-512-512-512,512,1000,195,756.5829586079344,"['/device:GPU:0', 'device: 0, name: NVIDIA A40, pci bus id: 0000:4b:00.0, compute capability: 8.6']"
7,0,0,9,100000,,10,MAFN,relu,8,-5,0,,0.013648669521800117,0.03725929871033948,0.0011468645199157789,0.000659685735531883,26.463156419621132,47.951152867922296,51.73086149617153,28.829764667327957,1.2607559357081153,0.015029714998941526,128-128-128,512,1000,537,2769.2647416181862,"['/device:GPU:0', 'device: 0, name: NVIDIA A40, pci bus id: 0000:4b:00.0, compute capability: 8.6']"
8,0,0,9,100000,,10,MAFN,relu,8,-5,0,,0.008076144782397737,0.01503362879126493,0.0014340910959462706,0.0014178738965686776,10.057972291111318,10.402442293336403,11.88612953243193,6.372301031095437,0.46854344265377834,0.01048667215017163,256-256-256,512,1000,333,1798.3840740257874,"['/device:GPU:0', 'device: 0, name: NVIDIA A40, pci bus id: 0000:4b:00.0, compute capability: 8.6']"
9,0,0,9,100000,,10,MAFN,relu,8,-5,0,,0.0031547022365033778,0.011830446676210566,0.00112750363984854,0.0007224085651105803,10.836123327122369,11.950209551359036,15.441535205089684,7.997928274264731,0.27973300121303657,0.011398457710959035,512-512-512,512,1000,103,590.5031032701954,"['/device:GPU:0', 'device: 0, name: NVIDIA A40, pci bus id: 0000:4b:00.0, compute capability: 8.6']"
10,0,0,9,100000,,10,MAFN,relu,8,-5,0,,0.015611680064220231,0.03481208895677114,0.0037723490959491943,0.008923487099454192,380.9187749234987,1044.4967254901628,912.7777014383227,638.1995268760512,2.0346097332037396,0.014090731643751712,128-128-128-128-128,512,1000,456,2879.49524206575,"['/device:GPU:0', 'device: 0, name: NVIDIA A40, pci bus id: 0000:4b:00.0, compute capability: 8.6']"
11,0,0,9,100000,,10,MAFN,relu,8,-5,0,,0.027088282049750608,0.07297312727430715,0.00463386151167909,0.009480074841168345,6.962248384467494e+16,1.9692212179848205e+17,1.698728612950432e+17,1.2047179668966194e+17,1.4676184035945097,0.020171113666270824,256-256-256-256-256,512,1000,303,1912.3552213059738,"['/device:GPU:0', 'device: 0, name: NVIDIA A40, pci bus id: 0000:4b:00.0, compute capability: 8.6']"
12,0,0,9,100000,,10,MAFN,relu,8,-5,0,,0.015002348990547466,0.03233742859732198,0.002212934090855711,0.004193356219019145,9.464928821493997,10.42075577445441,12.158407659457986,6.972430295997354,0.22952029056610349,0.01012414705186688,512-512-512-512-512,512,1000,166,1060.460433374159,"['/device:GPU:0', 'device: 0, name: NVIDIA A40, pci bus id: 0000:4b:00.0, compute capability: 8.6']"
